Date,AAPL,AMZN,GOOGL,META,MSFT,TSLA
2022-01-03,177.93971252441406,170.4044952392578,143.7171173095703,335.5929870605469,322.4623107910156,399.9266662597656
2022-01-04,175.68138122558594,167.52200317382812,143.13034057617188,333.6004943847656,316.9330749511719,383.1966552734375
2022-01-05,171.00830078125,164.35699462890625,136.56402587890625,321.3480529785156,304.7666931152344,362.7066650390625
2022-01-06,168.15359497070312,163.25399780273438,136.53680419921875,329.56585693359375,302.3584289550781,354.8999938964844
2022-01-07,168.31976318359375,162.5540008544922,135.81271362304688,328.9017333984375,302.51251220703125,342.32000732421875
2022-01-10,168.33932495117188,161.48599243164062,137.45069885253906,325.2140808105469,302.734130859375,352.7066650390625
2022-01-11,171.16468811035156,165.36199951171875,138.5078125,331.459228515625,303.4180603027344,354.79998779296875
2022-01-12,171.60462951660156,165.20700073242188,140.18740844726562,330.35894775390625,306.5872802734375,368.739990234375
2022-01-13,168.33932495117188,161.21400451660156,137.36892700195312,323.6379699707031,293.6117858886719,343.85333251953125
2022-01-14,169.1996307373047,162.13800048828125,138.25454711914062,329.0107421875,298.8134765625,349.8699951171875
2022-01-18,166.0027618408203,158.91749572753906,134.8026885986328,315.3804626464844,291.54058837890625,343.5033264160156
2022-01-19,162.51260375976562,156.2989959716797,133.92893981933594,316.80792236328125,292.19561767578125,331.8833312988281
2022-01-20,160.8310546875,151.66749572753906,132.1358184814453,313.8043518066406,290.5291748046875,332.0899963378906
2022-01-21,158.7780303955078,142.64300537109375,129.20582580566406,300.5308837890625,285.16363525390625,314.6333312988281
2022-01-24,158.00567626953125,144.54400634765625,129.65432739257812,306.0226135253906,285.49114990234375,310.0
2022-01-25,156.2068328857422,139.98599243164062,125.81932067871094,297.5372009277344,277.9004211425781,306.1333312988281
2022-01-26,156.1188507080078,138.87249755859375,128.09713745117188,292.0652160644531,285.8186950683594,312.4700012207031
2022-01-27,155.65939331054688,139.6374969482422,127.87115478515625,292.0752258300781,288.83380126953125,276.3666687011719
2022-01-28,166.52088928222656,143.97799682617188,132.17892456054688,299.0835266113281,296.9447326660156,282.1166687011719
2022-01-31,170.8714141845703,149.57350158691406,134.11427307128906,310.53302001953125,299.5649108886719,312.239990234375
2022-02-01,170.70523071289062,151.19349670410156,136.43421936035156,316.2230529785156,297.4263610839844,310.4166564941406
2022-02-02,171.9076690673828,150.6125030517578,146.69918823242188,320.1882629394531,301.95379638671875,301.88665771484375
2022-02-03,169.033447265625,138.8455047607422,141.8323516845703,235.6902618408203,290.1920471191406,297.0466613769531
2022-02-04,168.7495880126953,157.63949584960938,142.0335693359375,235.026123046875,294.7098693847656,307.7733459472656
2022-02-07,168.03500366210938,157.9355010986328,137.97752380371094,222.95216369628906,289.903076171875,302.4466552734375
2022-02-08,171.13804626464844,161.4134979248047,138.1737823486328,218.2633056640625,293.3805236816406,307.3333435058594
2022-02-09,172.55746459960938,161.1894989013672,140.34750366210938,229.9803924560547,299.7864074707031,310.6666564941406
2022-02-10,168.48526000976562,159.0034942626953,137.40162658691406,226.08462524414062,291.28057861328125,301.51666259765625
2022-02-11,165.07876586914062,153.2935028076172,133.1022491455078,217.63880920410156,284.2099609375,286.6666564941406
2022-02-14,165.31369018554688,155.16700744628906,134.33482360839844,215.8048858642578,284.1715087890625,291.9200134277344
2022-02-15,169.14109802246094,156.510498046875,135.40782165527344,219.076171875,289.4406433105469,307.4766540527344
2022-02-16,168.90618896484375,158.10049438476562,136.52735900878906,214.65501403808594,289.1028137207031,307.7966613769531
2022-02-17,165.31369018554688,154.65249633789062,131.3740692138672,205.90185546875,280.6373596191406,292.1166687011719
2022-02-18,163.76707458496094,152.60150146484375,129.25686645507812,204.3653564453125,277.9344482421875,285.6600036621094
2022-02-22,160.84999084472656,150.19749450683594,128.67254638671875,200.3208465576172,277.7317199707031,273.84332275390625
2022-02-23,156.6897430419922,144.82699584960938,126.46658325195312,196.72247314453125,270.5404357910156,254.67999267578125
2022-02-24,159.30337524414062,151.35800170898438,131.5247344970703,205.7928009033203,284.3632507324219,266.92333984375
2022-02-25,161.3688201904297,153.7884979248047,133.27767944335938,208.6477508544922,286.98883056640625,269.9566650390625
2022-02-28,161.6331024169922,153.56300354003906,133.86996459960938,209.19297790527344,288.41748046875,290.1433410644531
2022-03-01,159.75363159179688,151.14199829101562,132.8831787109375,201.71859741210938,284.71075439453125,288.1233215332031
2022-03-02,163.04269409179688,152.05250549316406,133.3887176513672,206.29837036132812,289.76885986328125,293.2966613769531
2022-03-03,162.71966552734375,147.89849853515625,132.7226104736328,201.20310974121094,285.6471252441406,279.7633361816406
2022-03-04,159.72427368164062,145.64100646972656,130.74710083007812,198.3184814453125,279.7975158691406,279.42999267578125
2022-03-07,155.93600463867188,137.4530029296875,125.2677230834961,185.83807373046875,269.22760009765625,268.1933288574219
2022-03-08,154.11524963378906,136.01449584960938,125.98735046386719,188.6334991455078,266.27392578125,274.79998779296875
2022-03-09,159.50892639160156,139.2790069580078,132.24732971191406,196.77200317382812,278.4847106933594,286.3233337402344
2022-03-10,155.17250061035156,146.8175048828125,131.2655487060547,193.51071166992188,275.6757507324219,279.4333190917969
2022-03-11,151.4624786376953,145.52450561523438,128.72903442382812,185.97683715820312,270.3473815917969,265.1166687011719
2022-03-14,147.4392852783203,141.85299682617188,124.84397888183594,185.00540161132812,266.8434143066406,255.4566650390625
2022-03-15,151.81491088867188,147.3665008544922,128.06243896484375,190.35833740234375,277.1815185546875,267.2966613769531
2022-03-16,156.21987915039062,153.10400390625,132.1090545654297,201.8573760986328,284.1703186035156,280.07666015625
2022-03-17,157.22811889648438,157.23899841308594,132.6626434326172,206.0307159423828,284.97137451171875,290.5333251953125
2022-03-18,160.51718139648438,161.25050354003906,134.92904663085938,214.60540771484375,290.0005798339844,301.7966613769531
2022-03-21,161.88760375976562,161.4915008544922,134.9052734375,209.6489715576172,288.7746276855469,307.0533447265625
2022-03-22,165.25498962402344,164.88900756835938,138.638671875,214.76402282714844,293.5045166015625,331.32666015625
2022-03-23,166.61563110351562,163.4080047607422,137.06016540527344,211.601806640625,289.0931701660156,333.03668212890625
2022-03-24,170.39414978027344,163.64950561523438,140.3276824951172,217.6586151123047,293.5431213378906,337.97332763671875
2022-03-25,171.03038024902344,164.77349853515625,140.42779541015625,219.88902282714844,293.1376647949219,336.8800048828125
2022-03-28,171.89181518554688,168.99049377441406,140.2122039794922,221.6436004638672,299.91400146484375,363.9466552734375
2022-03-29,175.1808624267578,169.31500244140625,141.2529754638672,227.85903930664062,304.4605407714844,366.5233459472656
2022-03-30,174.0159912109375,166.30099487304688,140.69094848632812,225.8665313720703,302.9643249511719,364.663330078125
2022-03-31,170.92271423339844,162.99749755859375,137.84518432617188,220.42431640625,297.6069641113281,359.20001220703125
2022-04-01,170.6290283203125,163.55999755859375,138.91867065429688,222.89268493652344,298.67852783203125,361.5299987792969
2022-04-04,174.6718292236328,168.34649658203125,141.7148895263672,231.8539581298828,304.03582763671875,381.8166809082031
2022-04-05,171.36317443847656,164.05499267578125,139.3553009033203,229.82180786132812,300.0877990722656,363.7533264160156
2022-04-06,168.201416015625,158.75599670410156,135.34783935546875,221.3561553955078,289.1028137207031,348.586669921875
2022-04-07,168.50485229492188,157.7845001220703,134.6941375732422,221.0092010498047,290.9079284667969,352.4200134277344
2022-04-08,166.49818420410156,154.4604949951172,132.1160125732422,220.39459228515625,286.66070556640625,341.8299865722656
2022-04-11,162.2498321533203,151.1219940185547,127.69123840332031,214.57566833496094,275.3572082519531,325.30999755859375
2022-04-12,164.1195068359375,150.78750610351562,126.59197998046875,212.27590942382812,272.2682800292969,328.98333740234375
2022-04-13,166.80162048339844,155.54100036621094,128.7523193359375,213.1184844970703,277.6352233886719,340.7900085449219
2022-04-14,161.7995147705078,151.7064971923828,125.61614227294922,208.35035705566406,270.11566162109375,328.3333435058594
2022-04-18,161.58413696289062,152.78500366210938,126.5543212890625,208.93521118164062,270.78173828125,334.7633361816406
